Property,Sizes
l_comment.dictionary.size,"33577848, 33378371, 25641940"
l_comment.forward_index.size,"2287416, 2273646, 1717113"
l_commitdate.dictionary.size,"5438, 5438, 3948"
l_commitdate.forward_index.size,"1143712, 1136827, 772706"
l_discount.dictionary.size,"96, 96, 96"
l_discount.forward_index.size,"457490, 454736, 343429"
l_extendedprice.dictionary.size,"4554648, 4531904, 3804160"
l_extendedprice.forward_index.size,"2287416, 2273646, 1631258"
l_linenumber.dictionary.size,"36, 36, 36"
l_linenumber.forward_index.size,"343120, 341054, 257574"
l_linestatus.dictionary.size,"10, 9, 9"
l_linestatus.forward_index.size,"24, 16, 16"
l_orderkey.dictionary.size,"1067888, 1062560, 763536"
l_orderkey.forward_index.size,"2173046, 2159964, 1545403"
l_partkey.dictionary.size,"791728, 791512, 774668"
l_partkey.forward_index.size,"2058675, 2046282, 1545403"
l_quantity.dictionary.size,"408, 408, 408"
l_quantity.forward_index.size,"686231, 682100, 515140"
l_receiptdate.dictionary.size,"3948, 3948, 3648"
l_receiptdate.forward_index.size,"1029342, 1023145, 772706"
l_returnflag.dictionary.size,"11, 10, 9"
l_returnflag.forward_index.size,"228749, 113690, 16"
l_shipdate.dictionary.size,"3658, 3658, 3358"
l_shipdate.forward_index.size,"2928, 2928, 2688"
l_shipinstruct.dictionary.size,"76, 76, 76"
l_shipinstruct.forward_index.size,"228749, 227372, 171719"
l_shipmode.dictionary.size,"57, 57, 57"
l_shipmode.forward_index.size,"343120, 341054, 257574"
l_suppkey.dictionary.size,"40008, 40008, 40008"
l_suppkey.forward_index.size,"1601194, 1591555, 1201982"
l_tax.dictionary.size,"80, 80, 80"
l_tax.forward_index.size,"457490, 454736, 343429"
