Property,Sizes
l_comment.dictionary.size,"33352055, 33577848, 25641940, 33378371"
l_comment.forward_index.size,"2271811, 2287416, 1717113, 2273646"
l_commitdate.dictionary.size,"5438, 5438, 3948, 5438"
l_commitdate.forward_index.size,"1135910, 1143712, 772706, 1136827"
l_discount.dictionary.size,"96, 96, 96, 96"
l_discount.forward_index.size,"454369, 457490, 343429, 454736"
l_extendedprice.dictionary.size,"4532592, 4554648, 3804160, 4531904"
l_extendedprice.forward_index.size,"2271811, 2287416, 1631258, 2273646"
l_linenumber.dictionary.size,"36, 36, 36, 36"
l_linenumber.forward_index.size,"340779, 343120, 257574, 341054"
l_linestatus.dictionary.size,"9, 10, 9, 9"
l_linestatus.forward_index.size,"16, 24, 16, 16"
l_orderkey.dictionary.size,"1059900, 1067888, 763536, 1062560"
l_orderkey.forward_index.size,"2158221, 2173046, 1545403, 2159964"
l_partkey.dictionary.size,"791032, 791728, 774668, 791512"
l_partkey.forward_index.size,"2044631, 2058675, 1545403, 2046282"
l_quantity.dictionary.size,"408, 408, 408, 408"
l_quantity.forward_index.size,"681549, 686231, 515140, 682100"
l_receiptdate.dictionary.size,"3948, 3948, 3648, 3948"
l_receiptdate.forward_index.size,"1022320, 1029342, 772706, 1023145"
l_returnflag.dictionary.size,"10, 11, 9, 10"
l_returnflag.forward_index.size,"113599, 228749, 16, 113690"
l_shipdate.dictionary.size,"3658, 3658, 3358, 3658"
l_shipdate.forward_index.size,"2928, 2928, 2688, 2928"
l_shipinstruct.dictionary.size,"76, 76, 76, 76"
l_shipinstruct.forward_index.size,"227189, 228749, 171719, 227372"
l_shipmode.dictionary.size,"57, 57, 57, 57"
l_shipmode.forward_index.size,"340779, 343120, 257574, 341054"
l_suppkey.dictionary.size,"40008, 40008, 40008, 40008"
l_suppkey.forward_index.size,"1590270, 1601194, 1201982, 1591555"
l_tax.dictionary.size,"80, 80, 80, 80"
l_tax.forward_index.size,"454369, 457490, 343429, 454736"
