Property,Sizes
l_comment.dictionary.size,"33442097, 33378371, 33504834, 33352055"
l_comment.forward_index.size,"2278496, 2273646, 2283726, 2271811"
l_commitdate.dictionary.size,"5438, 5438, 5438, 5438"
l_commitdate.forward_index.size,"1139252, 1136827, 1141867, 1135910"
l_discount.dictionary.size,"96, 96, 96, 96"
l_discount.forward_index.size,"455706, 454736, 456752, 454369"
l_extendedprice.dictionary.size,"4541712, 4531904, 4544024, 4532592"
l_extendedprice.forward_index.size,"2278496, 2273646, 2283726, 2271811"
l_linenumber.dictionary.size,"36, 36, 36, 36"
l_linenumber.forward_index.size,"341782, 341054, 342566, 340779"
l_linestatus.dictionary.size,"9, 9, 9, 9"
l_linestatus.forward_index.size,"16, 16, 16, 16"
l_orderkey.dictionary.size,"1065868, 1062560, 1067284, 1059900"
l_orderkey.forward_index.size,"2164572, 2159964, 2169540, 2158221"
l_partkey.dictionary.size,"791640, 791512, 791616, 791032"
l_partkey.forward_index.size,"2050647, 2046282, 2055354, 2044631"
l_quantity.dictionary.size,"408, 408, 408, 408"
l_quantity.forward_index.size,"683555, 682100, 685124, 681549"
l_receiptdate.dictionary.size,"3948, 3948, 3958, 3948"
l_receiptdate.forward_index.size,"1025328, 1023145, 1027681, 1022320"
l_returnflag.dictionary.size,"9, 10, 9, 10"
l_returnflag.forward_index.size,"16, 113690, 16, 113599"
l_shipdate.dictionary.size,"3658, 3658, 3668, 3658"
l_shipdate.forward_index.size,"2928, 2928, 2936, 2928"
l_shipinstruct.dictionary.size,"76, 76, 76, 76"
l_shipinstruct.forward_index.size,"227857, 227372, 228380, 227189"
l_shipmode.dictionary.size,"57, 57, 57, 57"
l_shipmode.forward_index.size,"341782, 341054, 342566, 340779"
l_suppkey.dictionary.size,"40008, 40008, 40008, 40008"
l_suppkey.forward_index.size,"1594950, 1591555, 1598611, 1590270"
l_tax.dictionary.size,"80, 80, 80, 80"
l_tax.forward_index.size,"455706, 454736, 456752, 454369"
